;Country Code;Logistics performance index;Agriculture, forestry, and fishing, value added (% of GDP);GDP per capita (EUR);Gender Parity Index (GPI);School enrollment, primary (% net);Low income and Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene;health expenditure;Prevalence of undernourishment (% of population);GDP per capita
1;AFG;1.835.473;206.343.227.166.798;578.466.352.941.708;0.691150009632111;27;13.9;1.009.395.812;29.3;642.740.392.157.453
2;AGO;2.133.789;912.253.447.070.414;416.697.968.386.501;0.864740014076233;78;48.8;29.504.308;24.8;462.997.742.651.668
3;BDI;198.495;306.808.301.089.821;305.549.772.797.441;101.013.004.779.816;93;65.4;488.310.844;10;339.499.747.552.712
4;BEN;2.391.474;224.927.607.161.793;783.963.077.800.944;0.930230021476746;97;59.7;399.181.962;9.9;871.070.086.445.493
5;BFA;2.668.512;302.716.660.727.511;575.314.454.176.311;0.974439978599548;69;49.6;582.531.598;20.8;639.238.282.418.123
6;BGD;2.48;147.829.964.369.364;124.845.339.778.371;NA;91;11.9;246.311.455;15.8;13.871.704.419.819
7;BOL;2.109.668;10.239.494.241.516;303.597.221.489.277;0.972150027751923;88;5.6;642.235.639;19.6;337.330.246.099.197
8;BTN;1.955.844;167.129.935.420.361;282.989.124.506.544;101.191.997.528.076;83;3.9;365.892.296;60;314.432.360.562.827
9;CAF;2.50;311.506.966.935.004;380.404.293.450.491;NA;66;82.1;630.899.109;60.3;422.671.437.167.212
10;CIV;2.463.248;22.735.623.257.338;142.645.784.543.221;0.880320012569427;78;47.2;526.271.074;21.1;158.495.316.159.134
11;CMR;2.205.693;14.772.472.349.771;132.696.927.718.029;0.898779988288879;94;45.2;469.952.298;6.5;14.744.103.079.781
12;COD;2.009.918;183.703.885.045.717;497.316.960.805.998;0.992659986019135;37;59.8;39.869.163;40;552.574.400.895.553
13;COG;259.596;724.349.588.505.798;176.132.356.974.061;NA;88;38.7;341.535.064;37.7;195.702.618.860.068
14;COM;236.412;300.327.834.444.746;127.105.704.163.196;NA;80;50.7;768.427.435;13;141.228.560.181.329
15;CPV;NA;873.739.476.188.117;304.301.398.430.098;0.934509992599487;87;4.1;531.378.574;12.7;338.112.664.922.331
16;DJI;2.297.812;177.688.986.354.712;178.747.750.003.268;0.888149976730347;56;31.3;438.930.145;19.4;198.608.611.114.742
17;EGY;307.241;11.394.083.227.628;35.989.709.482.021;NA;97;2;462.285.691;4.6;399.885.660.911.344
18;ERI;2.062.937;141.000.000.000.000;811.4;0.860719978809357;42;45.6;296.577.289;21;NA
19;ETH;2.117.674;360.569.753.905.786;639.304.359.734.944;0.908819973468781;85;43.7;397.593.223;22.8;710.338.177.483.271
20;FSM;NA;260.601.174.504.576;289.434.501.124.937;100.294.995.307.922;84;3.6;1.220.112.314;6;321.593.890.138.819
21;GHA;2.484.248;202.471.754.785.241;176.600.570.089.157;100.117.003.917.694;90;18.8;608.769.695;6.3;196.222.855.654.619
22;GIN;2.011.655;184.782.420.543.413;769.256.013.746.355;NA;76;44.6;582.712.195;18.5;854.728.904.162.617
23;GMB;2.00;235.541.033.322.672;668.381.202.871.118;106.774.997.711.182;73;29.7;476.148.864;9.8;742.645.780.967.909
24;GNB;1.907.407;467.881.252.736.562;603.158.512.942.404;NA;71;35.3;651.981.283;26.1;67.017.612.549.156
25;HND;203.975;122.159.784.468.116;228.620.003.874.608;0.990490019321442;81;3.6;771.396.922;15.5;254.022.226.527.342
26;HTI;1.471.292;177.000.000.000.000;815.728.284.410.317;NA;58;23.8;53.723.227;47.5;906.364.760.455.908
27;IDN;2.645.161;134.926.435.578.886;333.169.512.758.628;0.968529999256134;93;7.1;30.053.613;7.3;370.188.347.509.587
28;IND;3.337.178;161.745.081.066.222;160.560.543.109.026;111.917.996.406.555;92;18.6;359.770.551;15.3;178.400.603.454.473
29;KEN;3.209.709;301.924.094.509.524;13.368.833.490.495;0.998929977416992;80;51.2;489.013.852;22.5;148.542.594.338.833
30;KGZ;1.96;140.607.643.300.857;112.108.283.510.739;0.992780029773712;89;0.8;721.937.462;6.5;124.564.759.456.377
31;KHM;2.362.919;265.803.600.137.747;116.290.491.997.151;0.992850005626678;95;6.5;617.148.507;18.7;129.211.657.774.612
32;KIR;NA;215.765.558.116.562;15.425.752.495.838;103.233.003.616.333;95;16.7;784.410.495;3.2;171.397.249.953.756
33;LAO;1.761.834;175.881.439.571.829;213.470.422.381.961;0.960569977760315;97;11.3;245.366.446;16.7;237.189.358.202.179
34;LBR;2.012.614;343.706.956.248.033;710.383.857.717.515;0.904540002346039;38;41.5;1.018.906.067;38.4;789.315.397.463.905
35;LSO;1.961.644;497.062.989.812.616;121.917.785.261.068;0.967710018157959;80;44.4;834.570.567;12.9;135.464.205.845.631
36;MAR;246.142;12.628.068.222.076;287.525.798.516.781;0.946919977664948;99;1.9;541.232.575;3.9;31.947.310.946.309
37;MDA;2.352.941;115.052.679.095.319;217.923.362.495.857;0.989929974079132;87;0.1;1.017.688.536;44;242.137.069.439.841
38;MDG;2.118.222;234.861.075.834.636;402.088.311.769.817;0.999729990959167;96;30.2;550.418.518;41.1;446.764.790.855.352
39;MLI;2.299.231;377.232.568.576.052;751.170.496.562.966;0.897539973258972;56;70.7;411.122.936;5.9;834.633.885.069.962
40;MMR;2.329.592;267.717.786.456.294;113.300.281.580.351;NA;98;12.6;519.360.297;10.8;125.889.201.755.946
41;MNG;2.051.282;133.561.451.328.882;391.857.917.389.554;0.981869995594025;97;1.3;38.824.954;18.5;435.397.685.988.393
42;MOZ;2.238.017;229.439.489.373.622;547.238.093.853.497;0.916660010814667;90;27.6;518.223.307;30.4;608.042.326.503.886
43;MRT;1.542.857;245.231.814.291.077;119.431.251.537.905;105.016.005.039.215;80;38.6;464.444.537;9.4;132.701.390.597.672
44;MWI;3.04;274.812.238.583.409;380.597.033.140.938;102.279.996.871.948;98;28.3;933.346.903;24.5;42.288.559.237.882
45;NER;2.222.419;363.323.358.834.131;360.853.384.070.947;0.852989971637726;62;70.8;709.101.535;12.3;400.948.204.523.274
46;NGA;2.398.846;206.318.934.802.764;27.304.303.237.015;NA;64;68.6;357.255.253;9;303.381.147.077.944
47;NIC;249.933;161.099.292.213.419;204.985.141.546.244;NA;95;2.2;791.558.655;16.4;227.761.268.384.716
48;NPL;2.266.667;293.829.458.795.774;792.552.890.593.381;108.185.994.625.092;97;19.8;621.927.182;9.5;880.614.322.881.534
49;PAK;2.697.275;23.817.063.587.239;135.666.773.135.083;0.854499995708466;74;19.6;268.711.914;20.9;150.740.859.038.981
50;PHL;2.550.097;102.601.851.963.279;286.715.199.022.128;0.971170008182526;96;4.2;432.136.857;13.9;31.857.244.335.792
51;PNG;2.322.611;174.562.264.088.196;267.932.671.103.336;NA;74;16.3;250.788.426;48;297.702.967.892.596
52;PRK;NA;NA;NA;100.220.000.743.866;91;1.4;NA;42.8;NA
53;PSE;NA;355.164.523.001.657;296.785.174.651.975;0.999920010566711;90;NA;Na;37;329.761.305.168.861
54;RWA;2.621.956;280.075.429.548.457;728.081.757.390.407;101.140.999.794.006;95;19.3;651.938.268;34;808.979.730.433.786
55;SDN;2.201.694;314.185.582.789.066;248.674.565.866.274;0.916649997234344;57;17.3;680.492.247;25.1;276.305.073.184.749
56;SEN;2.233.494;142.824.516.828.913;121.876.424.640.812;112.023.997.306.824;73;23.9;558.568.729;11.7;135.418.249.600.902
57;SLB;220.718;350.000.000.000.000;191.446.792.551.698;0.989319980144501;71;6.2;524.872.732;12.7;212.718.658.390.776
58;SLE;2.069.467;586.518.937.048.545;588.228.452.702.849;1.009.889.960.289;92;81.3;204.146.101;25.7;653.587.169.669.832
59;SLV;2.249.288;552.972.407.484.521;370.557.794.598.177;0.95863002538681;86;2;686.405.934;11;411.730.882.886.863
60;SOM;1.571.429;627.000.000.000.000;483.358.961.660.611;NA;14;86.6;NA;NA;537.065.512.956.234
61;SSD;NA;121.118.946.188.341;115.480.094.905.878;0.7082399725914;31;63.3;NA;7;128.311.216.562.087
62;STP;2.117.817;122.286.339.446.274;159.586.142.275.725;0.956239998340607;91;11.4;5.349.902;9.8;177.317.935.861.917
63;SWZ;NA;95.909.036.893.687;364.140.858.337.825;0.912840008735657;71;27.9;7.772.143;21;404.600.953.708.694
64;SYR;1.237.654;195.000.000.000.000;2,032.6;NA;68;3.7;NA;38;NA
65;TCD;2.074.374;503.955.822.999.691;775.707.523.514.754;0.775699973106384;80;101;454.621.344;38.4;861.897.248.349.727
66;TGO;2.236.628;39.772.544.489.248;570.680.737.075.619;0.947309970855713;95;41.6;624.938.169;16.2;634.089.707.861.799
67;TJK;2.133.333;219.328.343.872.073;929.095.857.223.746;0.986240029335022;94;2.7;685.367.879;25;103.232.873.024.861
68;TLS;1.67;880.871.589.321.727;258.515.387.819.439;0.985000014305115;84;9.9;349.424.362;27.1;287.239.319.799.377
69;TUN;2.444.444;102.876.618.467.064;38.598.144.363.739;0.971660017967224;98;1;700.675.038;4.7;428.868.270.708.211
70;TZA;2.811.586;26.745.885.729.563;947.933.446.487.903;103.067.004.680.634;81;38.4;378.969.995;32.1;105.325.938.498.656
71;UGA;2.739.724;239.815.827.987.955;709.021.038.589.161;101.924.002.170.563;95;31.6;633.395.034;38.6;787.801.153.987.957
72;UKR;2.494.807;120.593.761.063.371;212.466.266.591.114;NA;92;0.3;69.562.258;2.9;236.073.629.545.682
73;UZB;244.683;307.733.232.009.869;2.615.025.134.487;0.984860002994537;94;0.4;60.955.821;7.3;290.558.348.276.333
74;VNM;2.695.191;169.922.120.022.076;208.510.148.409.879;0.992079973220825;98;1.6;565.262.114;11.1;231.677.942.677.643
75;VUT;NA;266.049.114.081.442;272.163.593.635.591;0.983579993247986;86;10.4;415.322.859;6.9;302.403.992.928.434
76;YEM;1.87;707.414.416.954.883;16.087.443.121.263;NA;84;10.2;560.372.913;32.6;178.749.368.014.033
77;ZMB;2.262.771;49.808.295.402.307;133.219.432.103.691;100.315.999.984.741;83;34.9;443.510.226;44.4;148.021.591.226.323
78;ZWE;2.213.516;828.424.690.276.128;144.507.106.198.798;NA;94;24.6;925.619.679;48.2;160.563.451.331.998